"VARIABLE","Variable","TRANSPORT_MODE","Transport mode","SCENARIO","Scenario","COUNTRY_GROUP","Country group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","CURRENT","Current ambition","EUROPE","Europe","2019","2019",,,"9","Billions",,,16.4465124861339,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","CURRENT","Current ambition","EUROPE","Europe","2020","2020",,,"9","Billions",,,15.8789790362905,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","CURRENT","Current ambition","EUROPE","Europe","2022","2022",,,"9","Billions",,,17.0801519012961,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","CURRENT","Current ambition","EUROPE","Europe","2025","2025",,,"9","Billions",,,15.833478939638,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","CURRENT","Current ambition","EUROPE","Europe","2030","2030",,,"9","Billions",,,14.9976836464352,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","CURRENT","Current ambition","EUROPE","Europe","2040","2040",,,"9","Billions",,,13.0713806513302,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","CURRENT","Current ambition","EUROPE","Europe","2050","2050",,,"9","Billions",,,11.9408569085888,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","CURRENT","Current ambition","EUROPE","Europe","2019","2019",,,"9","Billions",,,1593.38432054856,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","CURRENT","Current ambition","EUROPE","Europe","2020","2020",,,"9","Billions",,,1548.50347419362,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","CURRENT","Current ambition","EUROPE","Europe","2022","2022",,,"9","Billions",,,1669.7322280766,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","CURRENT","Current ambition","EUROPE","Europe","2025","2025",,,"9","Billions",,,1563.82820085123,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","CURRENT","Current ambition","EUROPE","Europe","2030","2030",,,"9","Billions",,,1510.86208063684,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","CURRENT","Current ambition","EUROPE","Europe","2040","2040",,,"9","Billions",,,1378.60714933835,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","CURRENT","Current ambition","EUROPE","Europe","2050","2050",,,"9","Billions",,,1306.13446520689,,
"VKM","Vehicle-kilometres","BUSES","Buses","CURRENT","Current ambition","EUROPE","Europe","2019","2019",,,"9","Billions",,,43.2767930609799,,
"VKM","Vehicle-kilometres","BUSES","Buses","CURRENT","Current ambition","EUROPE","Europe","2020","2020",,,"9","Billions",,,33.0861740830132,,
"VKM","Vehicle-kilometres","BUSES","Buses","CURRENT","Current ambition","EUROPE","Europe","2022","2022",,,"9","Billions",,,35.2036497456847,,
"VKM","Vehicle-kilometres","BUSES","Buses","CURRENT","Current ambition","EUROPE","Europe","2025","2025",,,"9","Billions",,,41.643029439998,,
"VKM","Vehicle-kilometres","BUSES","Buses","CURRENT","Current ambition","EUROPE","Europe","2030","2030",,,"9","Billions",,,39.5509838984078,,
"VKM","Vehicle-kilometres","BUSES","Buses","CURRENT","Current ambition","EUROPE","Europe","2040","2040",,,"9","Billions",,,34.7872061663215,,
"VKM","Vehicle-kilometres","BUSES","Buses","CURRENT","Current ambition","EUROPE","Europe","2050","2050",,,"9","Billions",,,31.4052572020099,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","HIGH","High ambition","EUROPE","Europe","2019","2019",,,"9","Billions",,,16.4465124861339,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","HIGH","High ambition","EUROPE","Europe","2020","2020",,,"9","Billions",,,15.8789790362905,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","HIGH","High ambition","EUROPE","Europe","2022","2022",,,"9","Billions",,,17.027371914143,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","HIGH","High ambition","EUROPE","Europe","2025","2025",,,"9","Billions",,,15.7884417369439,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","HIGH","High ambition","EUROPE","Europe","2030","2030",,,"9","Billions",,,14.9967321754233,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","HIGH","High ambition","EUROPE","Europe","2040","2040",,,"9","Billions",,,13.0695221234493,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","HIGH","High ambition","EUROPE","Europe","2050","2050",,,"9","Billions",,,11.8878951168219,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","HIGH","High ambition","EUROPE","Europe","2019","2019",,,"9","Billions",,,1593.38432054856,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","HIGH","High ambition","EUROPE","Europe","2020","2020",,,"9","Billions",,,1548.50347419362,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","HIGH","High ambition","EUROPE","Europe","2022","2022",,,"9","Billions",,,1664.85066245064,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","HIGH","High ambition","EUROPE","Europe","2025","2025",,,"9","Billions",,,1626.67642425675,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","HIGH","High ambition","EUROPE","Europe","2030","2030",,,"9","Billions",,,1610.53438256793,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","HIGH","High ambition","EUROPE","Europe","2040","2040",,,"9","Billions",,,1540.47624930642,,
"VKM","Vehicle-kilometres","CARS","Passenger cars","HIGH","High ambition","EUROPE","Europe","2050","2050",,,"9","Billions",,,1529.56585522456,,
"VKM","Vehicle-kilometres","BUSES","Buses","HIGH","High ambition","EUROPE","Europe","2019","2019",,,"9","Billions",,,43.2767930609799,,
"VKM","Vehicle-kilometres","BUSES","Buses","HIGH","High ambition","EUROPE","Europe","2020","2020",,,"9","Billions",,,33.0861740830132,,
"VKM","Vehicle-kilometres","BUSES","Buses","HIGH","High ambition","EUROPE","Europe","2022","2022",,,"9","Billions",,,35.0898070591026,,
"VKM","Vehicle-kilometres","BUSES","Buses","HIGH","High ambition","EUROPE","Europe","2025","2025",,,"9","Billions",,,41.2200067237832,,
"VKM","Vehicle-kilometres","BUSES","Buses","HIGH","High ambition","EUROPE","Europe","2030","2030",,,"9","Billions",,,39.0279243337306,,
"VKM","Vehicle-kilometres","BUSES","Buses","HIGH","High ambition","EUROPE","Europe","2040","2040",,,"9","Billions",,,34.1627509712435,,
"VKM","Vehicle-kilometres","BUSES","Buses","HIGH","High ambition","EUROPE","Europe","2050","2050",,,"9","Billions",,,30.8471958217722,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","CURRENT","Current ambition","ENEA","East and Northeast Asia","2019","2019",,,"9","Billions",,,884.595393496358,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","CURRENT","Current ambition","ENEA","East and Northeast Asia","2020","2020",,,"9","Billions",,,888.521805496923,,
"VKM","Vehicle-kilometres","TWOWHEELERS","Two- and three-wheelers","CURRENT","Current ambition","ENEA","East and Northeast Asia","2022","2022",,,"9","Billions",,,908.01032327613,,
